coffee_shop_name,source,location,price_level,price_text,item_name,item_price,item_description
Gloria Jean's Coffees Peshawar,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Gelato house black cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Coffee Corner,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Kaldi's Cafe and Grill,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Wakhan Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Cafe Crunch,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Irfan Chacha Coffee Shop,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Rusty cup cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Karachi café,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Quetta Commissioner Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Bread Chef Cafè And Bakers,Google Maps,"Peshawar, Pakistan",3,$$$,,,
The Club Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
DHA Coffee Corner (ڈی ایچ اے کافی کارنر),Google Maps,"Peshawar, Pakistan",3,$$$,,,
Fairway Coffee Shop,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Quetta Zebaye Balochistan Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Classic Quetta Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Ghost House Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Quetta Chinar Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Adventure Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Crums Bakers & Café Hayatabad,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Cafe Ottimo Peshawar,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Peshawar Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
CLASSIC BAR CAFE,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Coffee Shop Market,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Mbox Cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Karachi cafe,Google Maps,"Peshawar, Pakistan",3,$$$,,,
DAWAR FOOD CAFE,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Bubblebrews,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Cafe Jinnah,Google Maps,"Peshawar, Pakistan",3,$$$,,,
Second Cup Coffee Company,Google Maps,"Multan, Pakistan",3,$$$,,,
Gloria Jean's Coffees Multan,Google Maps,"Multan, Pakistan",3,$$$,,,
Le Cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
Masoom cafe,Google Maps,"Multan, Pakistan",3,$$$,,,
Cafe Eclair,Google Maps,"Multan, Pakistan",3,$$$,,,
English Tea House,Google Maps,"Multan, Pakistan",3,$$$,,,
Elclassico,Google Maps,"Multan, Pakistan",3,$$$,,,
